Year;AL;AR;AZ;CA;CO;CT;DE;FL;GA;IA;ID;IL;IN;KS;KY;LA;MA;MD;ME;MI;MN;MO;MS;MT;NC;ND;NE;NH;NJ;NM;NV;NY;OH;OK;OR;PA;RI;SC;SD;TN;TX;UT;VA;VT;WA;WI;WV;WY;;;;;;;;;;;;;;;;;
1960;0,4724;0,5096;0,3312;2,0880;0,5836;0,0996;0,1058;0,4984;0,6256;2,7107;0,3736;1,8555;1,1750;1,1089;0,5478;0,3023;0,1118;0,2542;0,1739;0,8173;1,7813;1,2087;0,5269;0,3710;0,6529;0,6342;1,2739;0,0524;0,2180;0,1873;0,0439;0,8548;1,0234;0,5522;0,3559;0,7858;0,0151;0,2503;0,7766;0,5050;1,7125;0,1659;0,4107;0,1316;0,4186;1,4200;0,1272;0,1628;;;;;;;;;;;;;;;;;
1961;0,4836;0,5596;0,3471;2,2183;0,6198;0,0964;0,0968;0,5062;0,6166;2,7836;0,3910;1,8700;1,1539;1,2780;0,5499;0,3114;0,1082;0,2577;0,1760;0,8271;1,8475;1,2361;0,5514;0,3641;0,6747;0,6432;1,3937;0,0511;0,1951;0,2113;0,0441;0,8514;1,0681;0,5819;0,3743;0,7869;0,0150;0,2549;0,8214;0,4909;1,8403;0,1679;0,4029;0,1311;0,4312;1,4551;0,1234;0,1643;;;;;;;;;;;;;;;;;
1962;0,5223;0,5847;0,4110;2,3969;0,6794;0,0914;0,0969;0,5234;0,6270;2,8616;0,4017;1,9192;1,1408;1,2344;0,5727;0,3217;0,1036;0,2608;0,1742;0,8028;1,8369;1,1997;0,5832;0,3627;0,6833;0,6895;1,4187;0,0506;0,1985;0,2211;0,0479;0,8411;1,0391;0,5944;0,3924;0,7487;0,0138;0,2488;0,8523;0,5033;1,9439;0,1708;0,4148;0,1376;0,4441;1,4470;0,1243;0,1801;;;;;;;;;;;;;;;;;
1963;0,5312;0,6158;0,3852;2,3211;0,6738;0,0889;0,1005;0,5331;0,6426;2,9519;0,4258;1,9008;1,1401;1,3300;0,5933;0,3488;0,0986;0,2502;0,1595;0,8061;1,8351;1,2405;0,6097;0,4274;0,6892;0,7471;1,5560;0,0458;0,1757;0,2386;0,0448;0,7853;1,0312;0,6194;0,4031;0,6944;0,0130;0,2487;0,9508;0,5268;1,9902;0,1800;0,3995;0,1284;0,4611;1,4298;0,1180;0,1958;;;;;;;;;;;;;;;;;
1964;0,5551;0,6375;0,3729;2,3130;0,6625;0,0907;0,1099;0,5376;0,6950;3,0371;0,4334;1,9209;1,1540;1,1879;0,5794;0,3456;0,0939;0,2578;0,1635;0,8249;1,8668;1,2846;0,6429;0,4228;0,6987;0,7594;1,4745;0,0421;0,1721;0,2009;0,0479;0,8414;1,0176;0,6241;0,3897;0,7132;0,0124;0,2499;0,9215;0,5417;1,9047;0,1737;0,3670;0,1271;0,4601;1,3858;0,1153;0,1946;;;;;;;;;;;;;;;;;
1965;0,6011;0,6921;0,3950;2,4756;0,7372;0,0820;0,1126;0,5608;0,7721;2,9382;0,4336;1,8793;1,0992;1,2115;0,5748;0,3592;0,0851;0,2703;0,1634;0,7770;1,7255;1,2529;0,6333;0,3966;0,7589;0,7307;1,4771;0,0381;0,1595;0,2393;0,0584;0,7763;0,9947;0,6711;0,3941;0,7198;0,0118;0,2515;0,9156;0,5399;2,0641;0,1628;0,3938;0,1195;0,4886;1,3411;0,1095;0,1985;;;;;;;;;;;;;;;;;
1966;0,6300;0,7280;0,3868;2,3706;0,7722;0,0840;0,1148;0,5902;0,7771;3,2274;0,4283;2,0317;1,2209;1,3298;0,6220;0,3860;0,0864;0,2733;0,1659;0,7966;1,9069;1,4209;0,6450;0,4381;0,7532;0,7625;1,6852;0,0395;0,1470;0,2728;0,0550;0,8210;1,0383;0,7233;0,3961;0,6967;0,0115;0,2649;0,9547;0,5770;2,2384;0,1854;0,4176;0,1193;0,4864;1,4482;0,1077;0,1952;;;;;;;;;;;;;;;;;
1967;0,6751;0,7905;0,3988;2,4132;0,8284;0,0912;0,1224;0,6457;0,8418;3,3680;0,4411;2,0178;1,1848;1,3428;0,6255;0,4103;0,0943;0,2823;0,1812;0,7942;1,9335;1,4267;0,6857;0,4530;0,8187;0,7613;1,6743;0,0454;0,1604;0,3193;0,0621;0,8776;1,0560;0,7053;0,4270;0,7241;0,0116;0,2763;1,0030;0,6223;2,2697;0,1803;0,4147;0,1369;0,5207;1,5091;0,1071;0,2274;;;;;;;;;;;;;;;;;
1968;0,6567;0,7843;0,4333;2,4265;0,7921;0,0869;0,1083;0,6424;0,8427;3,3252;0,4666;2,0986;1,1353;1,3749;0,6321;0,4097;0,0870;0,2882;0,1716;0,7520;1,9167;1,4103;0,6750;0,4438;0,8386;0,7203;1,6968;0,0421;0,1505;0,2952;0,0582;0,8605;1,0098;0,7523;0,3896;0,7501;0,0105;0,2886;0,9848;0,5760;2,3421;0,1798;0,4287;0,1303;0,4866;1,5060;0,1125;0,2501;;;;;;;;;;;;;;;;;
1969;0,6472;0,8270;0,4867;2,4043;0,9367;0,0834;0,1100;0,6724;0,8362;3,2824;0,4618;1,9575;1,1175;1,5120;0,6439;0,4074;0,0843;0,2773;0,1729;0,7697;1,8739;1,4246;0,6718;0,4645;0,8445;0,7346;1,7437;0,0404;0,1369;0,3409;0,0619;0,8449;1,0089;0,8302;0,3951;0,8112;0,0096;0,2959;1,0192;0,5693;2,5261;0,1831;0,4397;0,1313;0,4889;1,5547;0,1080;0,2347;;;;;;;;;;;;;;;;;
1970;0,6558;0,8420;0,4466;2,3883;1,0241;0,0815;0,1094;0,7405;0,8201;3,3465;0,4965;1,9093;1,1344;1,5339;0,6336;0,4144;0,0804;0,2861;0,1683;0,7963;1,8259;1,4192;0,6971;0,4848;0,8594;0,7299;1,8998;0,0421;0,1344;0,3477;0,0628;0,8491;1,0209;0,8092;0,4034;0,7767;0,0093;0,2961;1,0355;0,5880;2,4055;0,1892;0,4409;0,1293;0,5052;1,5763;0,1090;0,2307;;;;;;;;;;;;;;;;;
1971;0,6818;0,8581;0,4849;2,5750;1,1626;0,0781;0,1009;0,6697;0,8492;3,3526;0,4957;1,8295;1,1338;1,6212;0,6328;0,4328;0,0768;0,2866;0,1608;0,7773;1,9117;1,4247;0,7270;0,4853;0,8346;0,7562;1,9207;0,0411;0,1266;0,3470;0,0693;0,8249;1,0500;0,8564;0,3958;0,7995;0,0084;0,3063;1,0771;0,5790;2,6281;0,1811;0,4324;0,1329;0,4970;1,5581;0,1070;0,2440;;;;;;;;;;;;;;;;;
1972;0,6604;0,8241;0,5534;2,3955;1,2127;0,0733;0,0957;0,6839;0,8290;3,4661;0,4952;1,8890;1,1804;1,8885;0,6731;0,4387;0,0723;0,2607;0,1503;0,7518;2,0238;1,4744;0,6814;0,4783;0,8287;0,7340;2,2294;0,0380;0,1173;0,4183;0,0740;0,7987;1,0434;0,9509;0,3843;0,7529;0,0074;0,3069;1,0797;0,6198;3,0425;0,1746;0,4332;0,1294;0,5195;1,6140;0,1126;0,2621;;;;;;;;;;;;;;;;;
1973;0,6970;0,9005;0,5666;2,5374;1,0859;0,0757;0,1083;0,7172;0,9286;3,2998;0,5428;1,8683;1,2353;1,8468;0,6692;0,4457;0,0733;0,2841;0,1749;0,8163;2,0685;1,4708;0,7483;0,5048;0,8736;0,8018;2,3401;0,0385;0,1192;0,4406;0,0737;0,8061;1,0427;1,0686;0,4266;0,7760;0,0080;0,3218;1,1778;0,6479;3,2207;0,1759;0,4659;0,1262;0,5315;1,6061;0,1232;0,2539;;;;;;;;;;;;;;;;;
1974;0,6325;0,8222;0,4670;2,5137;0,9747;0,0750;0,1042;0,7127;0,8516;3,0292;0,5362;1,9001;1,1879;1,4741;0,6667;0,4509;0,0772;0,2852;0,1897;0,7961;1,8455;1,3203;0,6730;0,4782;0,8238;0,7563;1,9593;0,0380;0,1175;0,3090;0,0760;0,8751;1,0379;0,9729;0,3849;0,7892;0,0085;0,3252;0,9914;0,6095;2,6389;0,1838;0,4854;0,1327;0,5474;1,5852;0,1220;0,2278;;;;;;;;;;;;;;;;;
1975;0,6093;0,7530;0,4547;2,5613;0,8951;0,0722;0,1001;0,6434;0,8024;3,1203;0,5280;2,0316;1,1820;1,4034;0,6417;0,3860;0,0741;0,2727;0,1588;0,7572;1,8595;1,2218;0,5931;0,4791;0,8017;0,7866;1,7585;0,0355;0,1170;0,3531;0,0732;0,8628;1,0609;0,8487;0,3831;0,8097;0,0079;0,2810;0,9260;0,5902;2,5486;0,1833;0,4703;0,1244;0,5216;1,5571;0,1181;0,2401;;;;;;;;;;;;;;;;;
1976;0,6970;0,8843;0,4575;2,6712;0,9929;0,0771;0,1071;0,7069;0,9313;3,4767;0,5618;2,1561;1,3508;1,6479;0,6919;0,4561;0,0776;0,2919;0,1755;0,8680;1,9349;1,3900;0,6789;0,4983;0,8868;0,8524;1,9265;0,0376;0,1269;0,3424;0,0735;0,8986;1,1719;0,8514;0,4299;0,8858;0,0081;0,3300;0,8488;0,6599;2,8985;0,1882;0,4789;0,1365;0,5831;1,6294;0,1200;0,2688;;;;;;;;;;;;;;;;;
1977;0,6675;0,8993;0,4934;2,6795;1,0918;0,0786;0,1141;0,6889;0,8983;3,5447;0,5477;2,2394;1,3389;1,7060;0,7001;0,4308;0,0775;0,2948;0,1783;0,7699;1,9424;1,3631;0,6956;0,5039;0,9008;0,7961;2,0509;0,0403;0,1132;0,4144;0,0729;0,8943;1,1422;0,9465;0,4304;0,8966;0,0080;0,3051;0,9449;0,6618;2,8992;0,1887;0,4597;0,1435;0,5626;1,6004;0,1126;0,2571;;;;;;;;;;;;;;;;;
1978;0,7291;1,0265;0,5971;3,1193;1,3089;0,0847;0,1459;0,8804;0,9711;3,7737;0,6973;2,2175;1,4264;2,2416;0,7537;0,4946;0,0797;0,3418;0,1857;0,9028;2,2947;1,4510;0,6627;0,6076;1,0265;0,8863;2,4482;0,0397;0,1214;0,3872;0,0895;0,9132;1,1509;0,9822;0,5050;0,9124;0,0086;0,3575;1,1683;0,6845;3,2422;0,2347;0,5207;0,1447;0,7675;1,8627;0,1212;0,3269;;;;;;;;;;;;;;;;;
1979;0,7795;1,0529;0,4918;3,0250;1,2427;0,0859;0,1427;0,9655;1,0852;3,8684;0,7616;2,3675;1,4704;2,2216;0,7433;0,5018;0,0825;0,3590;0,1869;0,9677;2,3800;1,5370;0,7797;0,6037;1,0903;0,9999;2,7833;0,0384;0,1198;0,3992;0,0895;0,9794;1,2192;1,1249;0,5959;0,9611;0,0085;0,3726;1,1909;0,7093;3,4880;0,2321;0,5968;0,1607;0,7720;2,0098;0,1285;0,3134;;;;;;;;;;;;;;;;;
1980;0,7950;1,0398;0,4744;2,9136;1,1749;0,0899;0,1517;0,9820;1,0625;3,7963;0,6894;2,4003;1,4887;2,0412;0,7471;0,5202;0,0807;0,3877;0,1877;1,0105;2,4510;1,4799;0,7738;0,5432;1,0990;0,9961;2,6836;0,0402;0,1207;0,3440;0,0895;1,0464;1,2878;1,0838;0,4940;1,0013;0,0088;0,3786;1,0860;0,7298;3,0370;0,2290;0,6257;0,1713;0,6931;2,0949;0,1278;0,2914;;;;;;;;;;;;;;;;;
1981;0,7389;0,9665;0,4372;3,0015;0,9852;0,0817;0,1469;0,8997;1,0351;3,4759;0,7073;2,2281;1,3728;1,7904;0,6958;0,4756;0,0773;0,3864;0,1703;0,9802;2,3513;1,3031;0,7337;0,5456;1,0976;0,9072;2,4275;0,0371;0,1082;0,2892;0,0849;0,9710;1,1914;0,9108;0,5418;0,9586;0,0078;0,3476;0,9928;0,6934;2,9291;0,2353;0,5632;0,1621;0,7737;2,0117;0,1211;0,2506;;;;;;;;;;;;;;;;;
1982;0,6790;0,8954;0,4536;2,9488;1,0206;0,0765;0,1456;0,8527;0,9146;3,4269;0,6740;2,2517;1,3874;1,8607;0,6833;0,4519;0,0746;0,3589;0,1315;0,9718;2,3564;1,3344;0,6909;0,5429;1,0446;0,8821;2,5353;0,0364;0,1071;0,2965;0,0722;0,8595;1,1275;0,7969;0,4962;0,9240;0,0079;0,3042;1,1004;0,6771;2,9081;0,2235;0,5318;0,1527;0,7464;1,8696;0,1153;0,2561;;;;;;;;;;;;;;;;;
1983;0,6752;0,9199;0,4386;2,7669;1,0442;0,0781;0,1426;0,8627;0,9155;3,1157;0,6437;2,0747;1,3765;1,8497;0,6616;0,4514;0,0744;0,3600;0,1317;1,0070;2,3191;1,3358;0,7092;0,5347;0,9846;0,9187;2,5363;0,0362;0,1029;0,3067;0,0813;0,9282;1,1318;0,7933;0,4909;0,9876;0,0078;0,2992;1,1137;0,6807;2,7084;0,2227;0,5177;0,1505;0,7165;1,9968;0,1230;0,2796;;;;;;;;;;;;;;;;;
1984;0,7186;0,9646;0,4305;3,0086;1,0716;0,0747;0,1664;0,8405;0,9539;2,8305;0,6340;1,9754;1,2526;1,9117;0,6004;0,4660;0,0711;0,3687;0,1236;0,9969;2,2308;1,1828;0,7669;0,4930;1,0544;0,8672;2,4249;0,0331;0,1010;0,3118;0,0857;0,8650;1,1038;0,8268;0,5094;0,9046;0,0076;0,3020;1,0582;0,6697;2,7777;0,2085;0,5063;0,1391;0,7396;1,8616;0,1228;0,2704;;;;;;;;;;;;;;;;;
1985;0,6846;0,9178;0,4066;2,7634;1,0695;0,0719;0,1586;0,7947;0,9065;2,8288;0,6205;2,0004;1,2429;1,8928;0,6085;0,4299;0,0687;0,3529;0,1031;0,9421;2,2489;1,1548;0,6767;0,4380;0,9760;0,8565;2,4881;0,0322;0,1013;0,3032;0,0748;0,8304;1,0981;0,8368;0,4945;0,9555;0,0076;0,2897;1,0807;0,6780;2,6818;0,2057;0,4980;0,1325;0,6789;1,9077;0,1239;0,2726;;;;;;;;;;;;;;;;;
1986;0,7089;1,0517;0,4097;2,9695;1,1437;0,0761;0,1664;0,8189;0,9544;2,9888;0,5985;1,9153;1,3381;2,1346;0,6614;0,4494;0,0713;0,3565;0,1078;0,9950;2,2549;1,2837;0,6917;0,4129;1,0010;0,8502;2,7476;0,0333;0,1046;0,3282;0,0816;0,8190;1,1834;0,9181;0,4901;0,9907;0,0077;0,2903;1,0486;0,6653;2,9700;0,2138;0,4994;0,1412;0,7094;1,8315;0,1168;0,2469;;;;;;;;;;;;;;;;;
1987;0,7975;1,1425;0,3982;2,8772;1,1720;0,0762;0,1846;0,8753;1,0242;3,0979;0,6212;1,7625;1,3429;2,0301;0,6317;0,4457;0,0691;0,3533;0,1131;0,9757;2,1424;1,3042;0,7501;0,4793;1,0383;0,8777;2,7626;0,0319;0,1042;0,3432;0,0803;0,8419;1,1200;0,9735;0,4867;0,9862;0,0078;0,2955;1,1327;0,6775;2,9312;0,2214;0,5145;0,1377;0,7458;1,9674;0,1140;0,2891;;;;;;;;;;;;;;;;;
1988;0,7964;1,1288;0,3748;2,8473;1,1938;0,0664;0,1807;0,8646;0,8971;2,7953;0,6311;1,7008;1,1837;2,0165;0,6843;0,4702;0,0652;0,3349;0,1072;0,8214;2,0050;1,2329;0,7791;0,4804;1,0266;0,7941;2,6877;0,0291;0,1063;0,3445;0,0783;0,7885;1,0037;1,0425;0,4991;0,9483;0,0075;0,2818;1,0381;0,6492;2,9267;0,2267;0,5356;0,1245;0,7904;1,6193;0,1104;0,2903;;;;;;;;;;;;;;;;;
1989;0,8209;1,2684;0,3586;3,0264;1,0968;0,0710;0,1972;0,8983;0,9355;2,7732;0,6329;1,7281;1,1740;1,9468;0,6728;0,4914;0,0673;0,3598;0,1113;0,9036;1,9756;1,1718;0,8385;0,4497;1,0534;0,7149;2,5826;0,0299;0,1094;0,3279;0,0771;0,8041;0,9814;1,0717;0,5443;0,9839;0,0076;0,3201;0,9066;0,5955;2,8265;0,2059;0,5240;0,1306;0,7819;1,6122;0,1049;0,2671;;;;;;;;;;;;;;;;;
1990;0,8477;1,3940;0,3279;3,0287;1,1007;0,0741;0,2018;0,8478;0,9138;2,9982;0,6102;1,7927;1,2855;2,1093;0,7495;0,5056;0,0665;0,3706;0,1107;0,9928;2,1716;1,3232;0,8492;0,4664;1,0411;0,7675;2,6882;0,0287;0,1123;0,3235;0,0763;0,8263;1,0386;1,0791;0,5066;1,0113;0,0074;0,3017;1,0448;0,5999;3,0121;0,1980;0,5152;0,1372;0,7772;1,8548;0,1192;0,2255;;;;;;;;;;;;;;;;;
1991;0,8475;1,4377;0,3505;3,2916;1,0706;0,0723;0,2110;0,8385;0,9618;2,9601;0,5777;1,9103;1,2853;1,9654;0,7444;0,5304;0,0674;0,3767;0,1098;1,0612;2,3108;1,3538;0,8879;0,4686;1,0455;0,7984;2,5871;0,0281;0,1167;0,3471;0,0727;0,8425;1,0810;1,1503;0,5109;0,9614;0,0073;0,3043;1,0059;0,5795;3,2120;0,2031;0,4803;0,1350;0,8395;1,8775;0,1113;0,3032;;;;;;;;;;;;;;;;;
1992;0,8255;1,3555;0,3675;3,3228;1,1145;0,0726;0,2081;0,8077;0,9506;2,9456;0,6118;1,9245;1,3012;2,1220;0,7534;0,5317;0,0628;0,3689;0,1019;1,0045;2,3457;1,3705;0,8773;0,4397;1,1446;0,8216;2,6062;0,0272;0,1163;0,3244;0,0778;0,7633;1,0499;1,0490;0,5170;0,9049;0,0068;0,2994;1,0076;0,6041;3,1095;0,2205;0,5265;0,1271;0,8796;1,7064;0,1014;0,2169;;;;;;;;;;;;;;;;;
1993;0,7744;1,4932;0,3734;3,5911;1,1502;0,0765;0,2077;0,9210;1,0335;2,9135;0,5969;1,9327;1,3990;2,0697;0,7758;0,5569;0,0651;0,3748;0,1050;1,0946;2,3032;1,4291;0,9953;0,4513;1,1935;0,8253;2,6595;0,0273;0,1161;0,3301;0,0757;0,7618;1,1209;1,0455;0,5408;0,9523;0,0069;0,3234;0,9499;0,6396;3,2472;0,2123;0,5559;0,1280;0,9548;1,6670;0,1230;0,2755;;;;;;;;;;;;;;;;;
1994;0,8869;1,5362;0,3853;3,6006;1,1757;0,0784;0,2279;0,8931;1,0345;2,8926;0,7146;1,9781;1,3766;2,1008;0,7245;0,5602;0,0667;0,3908;0,1116;1,1433;2,5303;1,4537;1,0031;0,5444;1,2528;0,8792;2,6059;0,0290;0,1232;0,3656;0,0881;0,7834;1,1268;1,1153;0,5197;0,9909;0,0075;0,3170;1,0392;0,5819;3,0644;0,2426;0,5277;0,1336;0,9380;1,7499;0,1374;0,2777;;;;;;;;;;;;;;;;;
1995;0,9724;1,4787;0,4338;4,0247;1,2309;0,0785;0,2302;0,9767;1,1777;2,8017;0,7702;1,8323;1,3219;2,2643;0,8102;0,5472;0,0694;0,4114;0,1152;1,1257;2,5689;1,4372;1,0085;0,5190;1,4341;0,8955;2,7017;0,0299;0,1327;0,3710;0,0871;0,8126;1,1601;1,1495;0,5839;1,0583;0,0073;0,3760;1,0400;0,6655;3,6683;0,2542;0,5851;0,1334;1,0366;1,7695;0,1502;0,2563;;;;;;;;;;;;;;;;;
1996;1,0000;1,4549;0,4207;3,8658;1,2470;0,0707;0,2244;0,9542;1,2348;2,6357;0,7737;1,8456;1,2242;2,1994;0,7570;0,5527;0,0655;0,3807;0,1076;1,0364;2,4411;1,4270;1,0493;0,5284;1,4623;0,8841;2,5530;0,0275;0,1202;0,3907;0,0882;0,7165;1,0408;1,0418;0,5578;0,9829;0,0068;0,3921;0,9705;0,6417;3,1244;0,2634;0,5922;0,1185;0,9531;1,6121;0,1475;0,2857;;;;;;;;;;;;;;;;;
1997;1,0203;1,2902;0,4394;4,2632;1,2208;0,0812;0,2516;0,9777;1,2282;2,8524;0,7581;1,9001;1,2898;2,3070;0,8023;0,5418;0,0712;0,4288;0,1152;1,0972;2,7829;1,5101;1,1042;0,5750;1,6685;0,9090;2,7236;0,0316;0,1316;0,4205;0,0934;0,8296;1,0445;1,2035;0,6126;1,0761;0,0067;0,4105;1,0468;0,6672;3,4551;0,2592;0,6677;0,1353;1,0158;1,8030;0,1701;0,2950;;;;;;;;;;;;;;;;;
1998;1,0497;1,4072;0,4843;4,4229;1,2346;0,0798;0,2747;1,0059;1,3156;3,0881;0,8768;1,9707;1,3867;2,4707;0,9892;0,5862;0,0708;0,4363;0,1205;1,0858;2,8502;1,5897;1,1621;0,6079;1,7750;0,9786;2,9926;0,0306;0,1325;0,4293;0,0978;0,8774;1,1940;1,1665;0,6070;1,1152;0,0072;0,4215;1,2401;0,7483;3,3982;0,2818;0,7030;0,1416;1,0307;1,8298;0,1820;0,2921;;;;;;;;;;;;;;;;;
1999;1,0606;1,4957;0,4754;4,7520;1,2655;0,0769;0,2727;0,9703;1,3195;3,2434;0,8476;1,9998;1,4008;2,6163;0,9042;0,5881;0,0638;0,4317;0,1184;1,1149;2,8173;1,5851;1,2060;0,5865;1,7646;0,9467;3,1370;0,0296;0,1288;0,4230;0,0935;0,8586;1,1870;1,2173;0,6145;1,0589;0,0068;0,3950;1,2887;0,7425;3,4960;0,2749;0,6936;0,1417;1,0029;1,8800;0,1658;0,2869;;;;;;;;;;;;;;;;;
2000;0,9902;1,3536;0,4985;4,6074;1,3235;0,0753;0,2707;0,9409;1,1971;3,2720;0,7953;1,9716;1,3854;2,5710;0,9249;0,5518;0,0642;0,4003;0,1070;1,1461;2,9535;1,5748;1,0858;0,5794;1,7218;1,0182;2,9694;0,0286;0,1282;0,4550;0,1008;0,8093;1,1566;1,1509;0,6339;1,0557;0,0067;0,3892;1,2979;0,7424;3,4524;0,2851;0,6546;0,1310;1,0008;1,9305;0,1525;0,2920;;;;;;;;;;;;;;;;;
2001;0,9997;1,3420;0,4762;4,5392;1,1184;0,0752;0,2676;0,8561;1,1716;3,1416;0,7539;2,0243;1,3955;2,4303;0,8681;0,5639;0,0631;0,4010;0,1056;1,1580;2,9267;1,5680;1,1687;0,5106;1,6336;1,0418;2,8972;0,0289;0,1332;0,4055;0,0919;0,8497;1,1891;1,0468;0,6387;1,1139;0,0069;0,3822;1,2767;0,7267;3,3528;0,2545;0,6319;0,1308;0,9608;1,9232;0,1513;0,2558;;;;;;;;;;;;;;;;;
2002;0,9680;1,3127;0,5376;4,7507;1,2169;0,0901;0,2112;0,8644;1,1485;3,1325;0,9396;1,9565;1,2583;2,4208;1,0299;0,5612;0,0714;0,3545;0,1213;1,0651;2,6954;1,5281;1,1398;0,5613;1,7932;1,0165;2,8697;0,0316;0,1626;0,4114;0,0978;0,9297;1,0811;0,9670;0,6142;1,0671;0,0084;0,4116;1,1885;0,8120;2,9984;0,2830;0,6661;0,1428;0,9781;1,7235;0,1521;0,2499;;;;;;;;;;;;;;;;;
2003;0,9461;1,3181;0,5456;4,2716;1,2588;0,0844;0,1903;0,9724;1,1931;3,4105;0,9071;2,0450;1,2810;2,6328;1,0540;0,5741;0,0612;0,3235;0,1113;1,0912;2,7118;1,5173;1,2639;0,5279;1,9738;0,9845;3,0186;0,0288;0,1451;0,4380;0,0982;0,8160;1,2114;1,1724;0,5850;0,9749;0,0077;0,4213;1,2223;0,7868;3,6390;0,2977;0,6474;0,1265;0,8408;1,5826;0,1476;0,2859;;;;;;;;;;;;;;;;;
2004;0,9836;1,3459;0,4512;4,2640;1,1828;0,0698;0,2249;0,9118;1,2252;3,3481;0,7756;1,9132;1,2906;2,5054;1,0959;0,5545;0,0567;0,3500;0,0976;1,0900;2,6894;1,4735;1,1808;0,4419;2,0342;1,0384;3,0204;0,0263;0,1232;0,4337;0,0847;0,7634;1,2756;1,2782;0,4731;1,0023;0,0065;0,4514;1,3233;0,8423;3,5998;0,2594;0,7468;0,1161;0,8747;1,7879;0,1534;0,2748;;;;;;;;;;;;;;;;;
